account_id,month,budget_amount
4000,2025-01-01,2684.3
4000,2025-02-01,2385.82
4000,2025-03-01,7822.78
4000,2025-04-01,6366.17
4000,2025-05-01,5282.24
4000,2025-06-01,7800.78
4000,2025-07-01,5847.83
4000,2025-08-01,12922.55
4000,2025-09-01,6957.79
4000,2025-10-01,6761.45
4000,2025-11-01,9541.74
4000,2025-12-01,2395.46
4100,2025-01-01,10206.72
4100,2025-02-01,2772.62
4100,2025-03-01,3558.09
4100,2025-04-01,9790.08
4100,2025-05-01,2932.76
4100,2025-06-01,4938.21
4100,2025-07-01,9092.38
4100,2025-08-01,3502.97
4100,2025-09-01,3939.3
4100,2025-10-01,9004.85
4100,2025-11-01,9608.07
4100,2025-12-01,3458.21
5000,2025-01-01,2701.6
5000,2025-02-01,3825.43
5000,2025-03-01,2727.64
5000,2025-04-01,2555.07
5000,2025-05-01,7209.85
5000,2025-06-01,4154.05
5000,2025-07-01,5244.04
5000,2025-08-01,3509.01
5000,2025-09-01,6693.36
5000,2025-10-01,1543.4
5000,2025-11-01,11352.14
5000,2025-12-01,2529.74
6000,2025-01-01,9381.64
6000,2025-02-01,1987.81
6000,2025-03-01,2694.74
6000,2025-04-01,5213.47
6000,2025-05-01,4339.99
6000,2025-06-01,8328.65
6000,2025-07-01,7406.1
6000,2025-08-01,4049.94
6000,2025-09-01,3031.56
6000,2025-10-01,1991.8
6000,2025-11-01,4546.78
6000,2025-12-01,9075.55
6100,2025-01-01,2253.32
6100,2025-02-01,2862.79
6100,2025-03-01,5720.87
6100,2025-04-01,12190.78
6100,2025-05-01,4195.26
6100,2025-06-01,6686.36
6100,2025-07-01,3627.18
6100,2025-08-01,9803.39
6100,2025-09-01,4745.35
6100,2025-10-01,2273.35
6100,2025-11-01,5033.04
6100,2025-12-01,6305.49
6200,2025-01-01,3148.71
6200,2025-02-01,4823.81
6200,2025-03-01,1443.07
6200,2025-04-01,2955.13
6200,2025-05-01,2931.95
6200,2025-06-01,7254.34
6200,2025-07-01,10730.67
6200,2025-08-01,4412.21
6200,2025-09-01,6692.28
6200,2025-10-01,2182.74
6200,2025-11-01,3834.84
6200,2025-12-01,4775.15
6300,2025-01-01,3555.72
6300,2025-02-01,3103.04
6300,2025-03-01,3069.59
6300,2025-04-01,4374.55
6300,2025-05-01,5554.77
6300,2025-06-01,2181.45
6300,2025-07-01,5926.71
6300,2025-08-01,9696.23
6300,2025-09-01,8419.22
6300,2025-10-01,3788.15
6300,2025-11-01,10293.65
6300,2025-12-01,7555.12
6400,2025-01-01,4763.49
6400,2025-02-01,5112.55
6400,2025-03-01,4529.02
6400,2025-04-01,2148.51
6400,2025-05-01,8626.04
6400,2025-06-01,2465.44
6400,2025-07-01,4622.68
6400,2025-08-01,4256.45
6400,2025-09-01,11248.55
6400,2025-10-01,2652.33
6400,2025-11-01,5586.8
6400,2025-12-01,3724.1
6500,2025-01-01,6407.0
6500,2025-02-01,6504.06
6500,2025-03-01,6646.46
6500,2025-04-01,3975.81
6500,2025-05-01,6679.18
6500,2025-06-01,13138.91
6500,2025-07-01,5465.77
6500,2025-08-01,1905.43
6500,2025-09-01,6946.87
6500,2025-10-01,2211.96
6500,2025-11-01,6794.77
6500,2025-12-01,8267.08
4010,2025-01-01,3420.58
4010,2025-02-01,3466.8
4010,2025-03-01,4913.14
4010,2025-04-01,9175.93
4010,2025-05-01,2074.56
4010,2025-06-01,2605.56
4010,2025-07-01,4022.59
4010,2025-08-01,2585.47
4010,2025-09-01,10077.85
4010,2025-10-01,3366.4
4010,2025-11-01,3279.64
4010,2025-12-01,4948.2
4020,2025-01-01,5055.56
4020,2025-02-01,4255.56
4020,2025-03-01,9860.68
4020,2025-04-01,4962.33
4020,2025-05-01,7880.12
4020,2025-06-01,6911.96
4020,2025-07-01,2079.73
4020,2025-08-01,2020.24
4020,2025-09-01,5747.1
4020,2025-10-01,17480.25
4020,2025-11-01,3791.15
4020,2025-12-01,3192.43
5010,2025-01-01,6054.11
5010,2025-02-01,3185.14
5010,2025-03-01,9741.06
5010,2025-04-01,5877.47
5010,2025-05-01,6306.59
5010,2025-06-01,7378.42
5010,2025-07-01,2304.72
5010,2025-08-01,3059.51
5010,2025-09-01,25972.59
5010,2025-10-01,11198.33
5010,2025-11-01,3255.77
5010,2025-12-01,5311.85
6110,2025-01-01,1615.3
6110,2025-02-01,5722.94
6110,2025-03-01,6089.41
6110,2025-04-01,7415.8
6110,2025-05-01,2669.45
6110,2025-06-01,8672.16
6110,2025-07-01,7893.58
6110,2025-08-01,3320.64
6110,2025-09-01,2397.27
6110,2025-10-01,4953.24
6110,2025-11-01,6892.86
6110,2025-12-01,3017.77
