customer_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
CUST-00001,2025-12-31,0.0,0.0,3362.83,263.45,899.3,4525.58
CUST-00002,2025-12-31,0.0,0.0,0.0,0.0,852.84,852.84
CUST-00003,2025-12-31,0.0,0.0,2451.96,0.0,0.0,2451.96
CUST-00005,2025-12-31,0.0,0.0,0.0,0.0,396.13,1630.69
CUST-00007,2025-12-31,0.0,0.0,0.0,0.0,46.91,46.91
CUST-00008,2025-12-31,0.0,0.0,0.0,0.0,1931.78,1931.78
CUST-00009,2025-12-31,147.91,0.0,0.0,0.0,245.8,393.71
CUST-00011,2025-12-31,158.81,0.0,185.86,0.0,0.0,344.67
CUST-00012,2025-12-31,0.0,0.0,0.0,60.99,1886.91,1947.9
CUST-00013,2025-12-31,0.0,0.0,0.0,0.0,510.38,510.38
CUST-00014,2025-12-31,0.0,0.0,0.0,0.0,35.88,35.88
CUST-00015,2025-12-31,939.94,0.0,0.0,0.0,1492.42,2432.36
CUST-00016,2025-12-31,0.0,0.0,0.0,0.0,3920.19,3920.19
CUST-00017,2025-12-31,0.0,0.0,0.0,0.0,910.67,910.67
CUST-00018,2025-12-31,0.0,0.0,4331.87,0.0,0.0,4331.87
CUST-00019,2025-12-31,0.0,311.84,0.0,0.0,110.69,422.53
CUST-00020,2025-12-31,0.0,803.93,0.0,0.0,2221.53,3025.46
CUST-00021,2025-12-31,0.0,790.91,0.0,0.0,323.64,1114.55
CUST-00022,2025-12-31,0.0,300.45,0.0,0.0,0.0,300.45
CUST-00023,2025-12-31,0.0,0.0,0.0,0.0,159.4,159.4
CUST-00026,2025-12-31,145.39,0.0,0.0,0.0,0.0,145.39
CUST-00027,2025-12-31,0.0,0.0,0.0,0.0,3897.72,3897.72
CUST-00028,2025-12-31,504.7,0.0,0.0,0.0,2365.78,2870.48
CUST-00029,2025-12-31,0.0,0.0,0.0,0.0,3618.03,3618.03
CUST-00030,2025-12-31,0.0,0.0,0.0,0.0,809.37,809.37
CUST-00031,2025-12-31,0.0,0.0,606.52,0.0,0.0,606.52
CUST-00033,2025-12-31,0.0,0.0,0.0,0.0,2419.57,2419.57
CUST-00034,2025-12-31,0.0,0.0,0.0,2266.53,1564.2,3830.73
CUST-00035,2025-12-31,0.0,0.0,524.63,0.0,3030.8,3555.43
CUST-00037,2025-12-31,1369.55,0.0,0.0,0.0,0.0,1369.55
CUST-00039,2025-12-31,0.0,0.0,0.0,0.0,876.36,876.36
CUST-00040,2025-12-31,1985.0,0.0,0.0,0.0,0.0,1985.0
CUST-00041,2025-12-31,0.0,0.0,0.0,765.67,0.0,765.67
CUST-00042,2025-12-31,0.0,0.0,0.0,10526.4,0.0,10526.4
CUST-00044,2025-12-31,2944.22,0.0,0.0,0.0,0.0,2944.22
CUST-00045,2025-12-31,210.53,0.0,0.0,0.0,2193.93,2404.46
CUST-00046,2025-12-31,0.0,0.0,0.0,0.0,2443.35,2443.35
CUST-00047,2025-12-31,0.0,0.0,0.0,0.0,5033.74,5033.74
CUST-00048,2025-12-31,0.0,0.0,0.0,0.0,2810.08,2810.08
CUST-00049,2025-12-31,1131.02,0.0,0.0,0.0,242.03,1373.05
CUST-00050,2025-12-31,0.0,939.91,0.0,0.0,207.53,1147.44
CUST-00051,2025-12-31,0.0,0.0,0.0,0.0,130.64,130.64
CUST-00052,2025-12-31,0.0,51.0,0.0,0.0,468.44,519.44
CUST-00053,2025-12-31,600.45,0.0,0.0,0.0,0.0,600.45
CUST-00054,2025-12-31,0.0,0.0,0.0,0.0,1033.65,1033.65
CUST-00055,2025-12-31,0.0,223.15,0.0,0.0,274.51,497.66
CUST-00056,2025-12-31,0.0,0.0,0.0,0.0,189.85,189.85
CUST-00057,2025-12-31,0.0,0.0,0.0,138.06,342.74,480.8
CUST-00058,2025-12-31,0.0,0.0,0.0,0.0,1684.19,1684.19
CUST-00060,2025-12-31,0.0,0.0,0.0,1597.89,0.0,1597.89
CUST-00061,2025-12-31,33.1,0.0,0.0,0.0,0.0,33.1
CUST-00063,2025-12-31,0.0,0.0,0.0,0.0,24.5,24.5
CUST-00064,2025-12-31,0.0,0.0,0.0,0.0,2045.31,2045.31
CUST-00065,2025-12-31,0.0,1927.15,0.0,0.0,54.83,1981.98
CUST-00066,2025-12-31,0.0,0.0,0.0,0.0,1854.58,1854.58
CUST-00067,2025-12-31,0.0,0.0,0.0,0.0,2163.43,2163.43
CUST-00071,2025-12-31,0.0,0.0,0.0,0.0,2007.18,2007.18
CUST-00072,2025-12-31,2626.68,0.0,0.0,0.0,1457.36,4084.04
CUST-00073,2025-12-31,0.0,385.55,0.0,0.0,1956.96,2342.51
CUST-00074,2025-12-31,0.0,0.0,0.0,5315.26,1042.94,6358.2
CUST-00075,2025-12-31,0.0,0.0,0.0,474.92,0.0,474.92
CUST-00076,2025-12-31,0.0,0.0,0.0,904.98,829.12,1734.1
CUST-00077,2025-12-31,0.0,0.0,0.0,0.0,694.45,694.45
CUST-00078,2025-12-31,23.92,0.0,0.0,0.0,197.74,221.66
CUST-00079,2025-12-31,0.0,0.0,0.0,0.0,915.82,915.82
CUST-00080,2025-12-31,0.0,0.0,4343.5,481.34,0.0,4824.84
